Kp: 0.4
Ki: 0
Kd: 0
tau: 0.01
limMin: -0.8
limMax: 0.8
intLimMin: -0.25
intLimMax: 0.25
setpoint: 219.191
t;error;out
19.9174;2.40909;0.8
19.9518;2.37657;0.8
19.9731;2.35608;0.8
20.0059;2.32454;0.8
20.0385;2.29282;0.8
20.071;2.26085;0.8
20.104;2.22824;0.8
20.1368;2.19542;0.8
20.1707;2.16119;0.8
20.2039;2.12733;0.8
20.235;2.09544;0.8
20.2678;2.06154;0.8
20.302;2.02577;0.8
20.3367;1.98926;0.795703
20.3737;1.94994;0.779974
20.409;1.91219;0.764874
20.4446;1.87372;0.749487
20.4801;1.83519;0.734076
20.5154;1.79654;0.718616
20.551;1.75723;0.702893
20.5854;1.71899;0.687598
20.619;1.68143;0.672571
20.6535;1.64259;0.657037
20.6875;1.6042;0.641681
20.7231;1.56367;0.62547
20.7577;1.52406;0.609625
20.7922;1.48424;0.593695
20.827;1.44409;0.577637
20.8628;1.40242;0.560968
20.8994;1.3597;0.543878
20.9345;1.3185;0.527399
20.9711;1.27536;0.510144
21.0063;1.23372;0.493488
21.0487;1.18336;0.473346
21.0812;1.14476;0.457904
21.1132;1.10675;0.4427
21.1459;1.06778;0.427112
21.1785;1.02878;0.411511
21.2137;0.986786;0.394714
21.247;0.946915;0.378766
21.2789;0.908752;0.363501
21.3112;0.870224;0.34809
21.343;0.832352;0.332941
21.377;0.79187;0.316748
21.4104;0.752167;0.300867
21.4458;0.710266;0.284106
21.4811;0.668594;0.267438
21.5169;0.62648;0.250592
21.5533;0.583969;0.233588
21.5875;0.544205;0.217682
21.6211;0.505539;0.202216
21.6551;0.466522;0.186609
21.6876;0.429611;0.171844
21.7102;0.404007;0.161603
21.7443;0.365906;0.146362
21.7773;0.329193;0.131677
21.811;0.292206;0.116882
21.8454;0.254944;0.101978
21.8809;0.216888;0.0867554
21.9148;0.181107;0.0724426
21.9477;0.146881;0.0587524
21.9825;0.111221;0.0444885
22.0177;0.0757904;0.0303162
22.0486;0.0451965;0.0180786
22.0807;0.0139008;0.0055603
22.1145;-0.0182953;-0.00731812
22.1479;-0.0495605;-0.0198242
22.212;-0.108093;-0.0432373
22.2482;-0.139694;-0.0558777
22.2819;-0.168427;-0.0673706
22.3036;-0.186478;-0.0745911
22.3249;-0.203934;-0.0815735
22.3606;-0.23233;-0.0929321
22.395;-0.258835;-0.103534
22.4324;-0.286728;-0.114691
22.4681;-0.312408;-0.124963
22.4883;-0.326492;-0.130597
22.5261;-0.35199;-0.140796
22.5515;-0.368576;-0.14743
22.5853;-0.389725;-0.15589
22.6183;-0.409515;-0.163806
22.6514;-0.428452;-0.171381
22.6854;-0.44696;-0.178784
22.7192;-0.464478;-0.185791
